Société;Correspondant Société;Etablissement;Adresse ;Correspondant Etablissement
THALES AVIONICS;Christine ORSINI; Le Haillan;"3 rue Toussaint Catros 
33187 Le Haillan";Christine FAUSSAT
;; Valence;"25 rue Jules Védrines
26027 Valence";Miguel BREHIN
;;Châtellerault La Brelandière;"40 Rue de la Brelandière - BP 128
86101 Châtelleraut";Valérie GLANDIER
;;Châtellerault CSC;"5 rue Marcel Dassault BP140
86101 Châtelleraut";Kévin DRION
;;Vélizy Helios;"19-21 avenue Morane saulnier
78140 Vélizy-Villacoublay";Jean-Dominique LORENZI
;;Toulouse Avionics;"105 avenue du Général Eisenhower BP 63647
31036 Toulouse Cedex 1";Elisabeth SARIE
;;Vendôme;"Zone Industrielle Nord
20 bd. de l'Industrie / BP 30067
41102 Vendôme";Christine BLOT
THALES AVIONICS ELECTRICAL SYSTEMS ;Guillaume BAROTH;Chatou;"42 boulevard de la République BP 53 
78401 Chatou";Isabelle PUCHE
;;Meru;"ZI 3 rue Emile Zola
60110 Meru";Nadège COLAS
THALES AVIONICS ELECTRICAL MOTORS;;Conflans;" 5 rue du Clos d'en Haut
78700 Conflans Ste Honorine";Isabelle PUCHE
THALES AVIONICS LCD;Loic CORBIERES;Moirans;" 760 rue Pommarin
38430 Moirans";Loic CORBIERES
THALES TRAINING & SIMULATION;Magali MILLET;Cergy Pontoise;"1 rue du Général de Gaulle
BP 226
95523 Cergy Pontoise Cedex";Magali MILLET
THALES ELECTRON DEVICES ;Pascal BOURGOIN; Vélizy Latécoère;"2 rue Marcel Daussault
78141 Vélizy";Jean-Yves COLOMBEL
;;Moirans;"ZI Centre'Alp
460 rue du Pommarin 
38430 Moirans";Marine SAINT-JALMES
;;Thonon-les-Bains;"ZI de Vongy
74200 Thonon-les-Bains";Jean-Yves SELEX
TRIXELL;Marine SAINT-JALMES;Moirans;"ZI Centre'Alp
460 rue du Pommarin 
38430 Moirans";Marine SAINT-JALMES
;;;;
THALES SYSTEMES AEROPORTES ;"Loic SEGALEN
Marianne DOUARD
Isabelle BELLY
Axelle BRUZZONE"; Brest;"10 avenue de la 1ère DFL / CS 93801 
29238 Brest Cedex 3";Lois SEGALEN
;;Elancourt;"2 avenue Gay Lussac
78851 Elancourt Cedex";"Marianne DOUARD
Isabelle BELLY"
;;Pessac;"25 avenue Gustave Eiffel 
33608 Pessac";Axelle BRUZZONE
THALES UNDERWATER SYSTEMS ;"Gwenaëlle ODOBEY
Fanck BERTRAND";Brest;"Route de St-Anne du Portzic - CS 43814 
29238 Brest";Gwenaëlle ODOBEY
;;Sophia;"525 route des Dolines
BP 157
06903 Sophia Antipolis";Franck BERTRAND
THALES MICROELECTRONICS ;Laurence LADUREE-CANTET;Etrelles;"Cap Bretagne 
Z.A. Le Piquet
35370 Etrelles";Laurence LADUREE-CANTET
THALES SAFAREPONS ;Agnès GUINOT;Sophia;"525 route des Dolines Les Bouillides
BP 157
06903 Sophia Antipolis";Estelle SAUVAGE
;;Aubagne;"Avenue de la Fleuride
BP 1153
13782 Aubagne Cedex";Catherine CHATILLON
UNITED MONOLITHIC SEMICONDUCTORS;Elodie WORONIAK;Orsay;"10 Avenue du Québec
SILIC 521
91946 COURTABOEUF Cedex";Elodie WORONIAK
;;;;
THALES AIR SYSTEMS;"Stéphane BAGDASSARIAN
Philippe LAN";Fleury-les-Aubrais;"29 rue de Montaran
45404 Fleury-les-Aubrais Cedex";Olivier AUDRAS
;;Limours;"Hameau de Roussigny
91470 Limours";Michèle PRADON
;;Rungis;"3 avenue Charles Lindbergh
Bâtiment Strasbourg
94150 Rungis";Bertrand LANCEL
;;Rouen;"Z.I. Le Mont Jarret
76520 Ymare";Laetitia BRUNSWISK
THALES RAYTHEON SYSTEMS;Karine TIZON;Massy;"1/5 avenue Carnot
91883 Massy";Karine TIZON
ACSI;Karine TIZON;Massy;"1/5 avenue Carnot
91883 Massy";Karine TIZON
MOSS;Céline LE COGUIC GARREAU;Issy les Moulineaux;"13 rue Camille Desmoulins
92130 Issy les Moulineaux";Céline LE COGUIC GARREAU
THALES OPTRONIQUE ;"Jérome GLOMOT
Anne Carole RABINOVSKY";Elancourt;"2 avenue Gay Lussac
78851 Elancourt Cedex";"Jérome GLOMOT
Anne Carole RABINOVSKY"
THALES CRYOGENIE ;"Sylvie COMES
Séverine RATEL";Blagnac;" 4 rue Marcel Doret
BP 22
31700 Blagnac";"Sylvie COMES
Séverine RATEL"
